Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Polycarbonate/Siloxane Copolymer,1.19,250.0,1.2,0.22,65.0,460.0,585.0,V-0,32.0,20.0,30.0,440.0,29.0,10.0,9,0.5886831081430749
Polychloroprene (Neoprene) Sponge,0.25,,1.6,0.06,,,400.0,V-2,26.0,500.0,25.0,260.0,25.0,120.0,7,0.4899768157031365
Polycyclohexylene Dimethylene Terephthalate (PCT),1.23,285.0,1.2,0.2,65.0,395.0,450.0,HB,20.0,60.0,15.0,410.0,24.0,100.0,9,0.5219400384097782
Polyester (PET-P),1.38,255.0,1.15,0.24,65.0,400.0,480.0,V-2,22.0,60.0,15.0,400.0,22.0,80.0,9,0.5326618309820775
Polyester (Thermoset),1.25,130.0,1.1,0.2,70.0,350.0,400.0,HB,19.0,150.0,12.0,340.0,30.0,150.0,9,0.48124062736223194
Polyester Fiber (Dacron),1.38,255.0,1.15,0.15,15.0,400.0,480.0,HB,21.0,80.0,15.0,400.0,22.0,100.0,9,0.5250637917663913
Polyester Fiber (PET),1.38,255.0,1.3,0.15,65.0,,480.0,HB,21.0,300.0,15.0,400.0,22.0,150.0,8,0.46859768333563445
Polyester Resin (GRP),1.8,,1.2,0.25,30.0,,480.0,HB,20.0,450.0,15.0,350.0,30.0,150.0,7,0.49478034468902454
Polyether Block Amide (PEBA),1.01,150.0,1.8,0.25,150.0,,400.0,HB,21.0,300.0,8.0,350.0,34.0,150.0,8,0.4485820797575223
Polyetheretherketone (PEEK),1.315,343.0,1.245,0.25,47.0,570.0,595.0,V-0,35.0,22.5,50.0,575.0,30.0,7.5,9,0.6157607416426022
Polyetherimide (PEI),1.27,215.0,1.165,0.22,55.5,535.0,535.0,V-0,47.0,17.5,52.0,510.0,26.0,5.0,9,0.6129589148231287
Polyetherimide (Ultem 1000),1.27,215.0,1.18,0.22,56.0,535.0,540.0,V-0,47.0,5.0,52.0,510.0,26.0,5.0,9,0.6149664612627572
Polyetherimide (Ultem 2300),1.51,215.0,1.05,0.25,20.0,535.0,545.0,V-0,50.0,5.0,58.0,520.0,25.0,5.0,9,0.6204032838064466
Polyetherketone (PEK),1.31,373.0,1.1,0.24,45.0,,600.0,V-0,50.0,25.0,60.0,600.0,28.0,5.0,8,0.6100900844072668
Polyetherketoneketone (PEKK),1.27,305.0,1.2,0.25,50.0,,580.0,V-0,45.0,40.0,55.0,560.0,28.0,5.0,8,0.5946792882548384
Polyethersulfone (30% Glass),1.6,225.0,1.05,0.25,22.0,510.0,550.0,V-0,40.0,18.0,42.0,530.0,23.5,10.0,9,0.602563559722608
Polyethersulfone (PES),1.37,225.0,1.1,0.18,55.0,510.0,540.0,V-0,38.0,37.5,40.0,500.0,26.0,10.0,9,0.5955830076792035
Polyethersulfone (PESU),1.37,225.0,1.12,0.18,54.0,510.0,550.0,V-0,38.0,20.0,40.0,520.0,24.0,10.0,9,0.5994938259691964
Polyethylene (HDPE),0.95,131.0,1.92,0.48,120.0,341.0,349.0,HB,17.4,15.0,5.0,340.0,43.5,110.0,9,0.4915208546292611
Polyethylene (HDPE) Pipe,0.95,130.0,2.3,0.45,120.0,,340.0,HB,18.0,400.0,2.0,280.0,44.0,200.0,8,0.40637573200212085
Polyethylene (LDPE),0.92,110.0,2.3,0.33,200.0,341.0,350.0,HB,17.0,20.0,0.0,340.0,43.0,140.0,9,0.48266419389173737
Polyethylene (PE) Foam,0.05,110.0,2.3,0.04,,,340.0,HB,17.0,450.0,2.0,280.0,44.0,300.0,8,0.37379425445630093
Polyethylene (UHMWPE),0.94,135.0,2.3,0.42,150.0,340.0,350.0,HB,17.2,15.0,0.0,345.0,43.5,130.0,9,0.48625252795696805
Polyethylene (XLPE),0.93,130.0,2.15,0.4,135.0,340.0,350.0,HB,18.0,25.0,5.0,345.0,43.0,110.0,9,0.4913370197418796
Polyethylene Fiber (Dyneema),0.97,144.0,2.3,20.0,0.0,340.0,355.0,HB,17.5,15.0,0.0,345.0,43.5,130.0,9,0.487551652343029
Polyethylene Fiber (UHMWPE),0.97,145.0,2.3,20.0,200.0,,340.0,HB,17.0,400.0,2.0,200.0,45.0,300.0,8,0.378136422982959
Polyethylene Naphthalate (PEN),1.36,265.0,1.15,0.2,20.0,,500.0,V-2,25.0,300.0,25.0,450.0,24.0,80.0,8,0.49794678553184124
Polyethylene Terephthalate (PET),1.35,255.0,1.2,0.25,65.0,,480.0,HB,21.0,400.0,15.0,400.0,22.0,150.0,8,0.45710871274739917
Polyethylene Terephthalate (PET-G),1.27,225.0,1.2,0.25,60.0,380.0,450.0,HB,21.0,65.0,14.0,390.0,23.0,90.0,9,0.5208491318692082
Polyhydroxyalkanoates (PHA),1.25,175.0,1.7,0.2,120.0,,370.0,HB,22.0,150.0,22.0,260.0,20.0,120.0,8,0.4715500534324374
Polyimide (PI),1.43,400.0,1.115,0.15,40.0,580.0,610.0,V-0,38.0,11.5,60.0,580.0,25.2,3.5,9,0.628134898794269
Polyimide (Vespel SP-1),1.43,400.0,1.13,0.15,40.0,580.0,610.0,V-0,38.0,8.0,62.0,600.0,25.2,5.0,9,0.6290287293122119
Polyimide Aerogel,0.1,,1.1,0.02,30.0,,600.0,V-0,38.0,8.0,60.0,580.0,25.0,5.0,7,0.6607328561943141
Polyimide Film (Kapton),1.42,,1.1,0.12,20.0,,580.0,V-0,37.0,10.0,60.0,520.0,24.0,5.0,7,0.6533563505683506
Polyimide Foam,0.01,,1.1,0.04,40.0,,600.0,V-0,38.0,8.0,62.0,580.0,25.0,5.0,7,0.6611792847657428
Polyisobutylene (PIB),0.92,,1.95,0.18,210.0,,350.0,HB,18.0,550.0,5.0,280.0,41.0,280.0,7,0.41164659022275585
Polyisocyanurate (PIR),0.04,,1.5,0.02,60.0,,530.0,V-0,25.0,250.0,25.0,300.0,28.0,25.0,7,0.5740280509757124
Polyisocyanurate Foam (PIR),0.03,,1.45,0.022,60.0,360.0,400.0,V-0,25.0,160.0,25.0,310.0,27.0,40.0,8,0.5670132789776292
Polyisoprene (Synthetic),0.92,,1.95,0.15,220.0,290.0,360.0,HB,17.2,210.0,5.0,290.0,43.8,215.0,8,0.4863415541942202
Polylactic Acid (PLA),1.24,160.0,1.8,0.13,85.0,,380.0,HB,24.0,100.0,20.0,250.0,19.0,100.0,8,0.4853927679583841
Polymer Concrete (Epoxy),2.3,,1.05,0.7,30.0,,,V-0,26.0,200.0,20.0,300.0,25.0,25.0,6,0.56619427163886
Polymer Concrete (PMMA),2.2,,1.1,0.8,25.0,,,HB,22.0,250.0,10.0,250.0,22.0,75.0,6,0.5309511437445753
Polyphenylene Ether (PPE),1.06,260.0,1.35,0.22,60.0,425.0,485.0,V-1,29.0,40.0,22.0,445.0,29.5,20.0,9,0.5614155745419439
Polyphenylene Oxide (PPO),1.06,260.0,1.3,0.22,60.0,420.0,450.0,V-1,28.0,147.5,20.0,400.0,29.0,30.0,9,0.5399249359448856
Polyphenylene Sulfide (PPS),1.35,285.0,1.0950000000000002,0.295,49.5,540.0,540.0,V-0,44.0,31.0,48.0,500.0,25.0,5.0,9,0.6104918952747946
Polypropylene (20% Talc Filled),1.05,164.0,1.55,0.25,65.0,335.0,355.0,HB,19.5,35.0,10.0,325.0,39.0,125.0,9,0.49031704303894397
Polypropylene (30% Glass),1.12,166.0,1.45,0.22,40.0,340.0,360.0,HB,21.5,40.0,12.0,330.0,40.0,115.0,9,0.49601623290988717
Polypropylene (FR Grade),1.02,165.0,1.8,0.2,110.0,340.0,360.0,V-0,28.0,50.0,15.0,330.0,35.0,40.0,9,0.5197264992444091
Polypropylene (PP),0.91,165.0,1.92,0.15,150.0,330.0,357.0,HB,17.5,20.0,2.0,320.0,44.0,150.0,9,0.4819483030602298
Polypropylene (PP) Foam,0.06,160.0,1.9,0.04,,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0,8,0.4176079984533332
Polypropylene (PP) Pipe,0.9,165.0,1.9,0.22,150.0,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0,8,0.41775474651625877
Polypropylene Fiber,0.91,165.0,1.9,0.2,150.0,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0,8,0.41775474651625877
Polystyrene (GPPS),1.05,240.0,1.3,0.13,70.0,345.0,427.0,HB,18.2,100.0,0.0,350.0,41.8,170.0,9,0.4846136268409059
Polystyrene (High Impact/HIPS),1.04,225.0,1.4,0.14,85.0,340.0,425.0,HB,18.0,110.0,2.0,345.0,41.0,180.0,9,0.4801625491023006
Polystyrene Foam (White),0.02,,1.3,0.04,70.0,,450.0,HB,18.0,400.0,5.0,240.0,40.0,200.0,7,0.47174196775276733
Polysulfide Rubber,1.3,,1.525,0.2,155.0,320.0,380.0,HB,19.0,290.0,30.0,260.0,28.0,135.0,8,0.5118015941077219
Polysulfone (PSU),1.24,190.0,1.1,0.255,55.0,490.0,545.0,V-0,30.0,55.0,35.0,460.0,28.0,12.5,9,0.5798213816847504
Polysulfone (Udel),1.24,190.0,1.05,0.26,55.0,490.0,545.0,V-0,30.0,30.0,35.0,460.0,24.0,10.0,9,0.5832083414049775
Polytetrafluoroethylene (PTFE),2.16,327.0,1.0,0.25,124.0,530.0,530.0,V-0,95.0,2.0,0.0,510.0,5.1,5.0,9,0.6619185123762036
Polyurethane (90A),1.2,180.0,1.85,0.2,150.0,340.0,380.0,HB,19.0,250.0,15.0,280.0,28.0,180.0,9,0.4606866131182912
Polyurethane (Rigid),0.06,190.0,1.48,0.03,72.0,355.0,415.0,HB,19.2,160.0,22.0,310.0,27.5,200.0,9,0.47478900067084784
Polyurethane Foam (Fire Retardant),0.04,,1.4,0.04,65.0,350.0,390.0,V-0,26.0,150.0,20.0,300.0,26.0,50.0,8,0.5627839159587984
Polyurethane Foam (Flexible),0.03,,1.5,0.04,70.0,330.0,370.0,HB,18.0,300.0,5.0,270.0,29.0,250.0,8,0.47563210844234227
Polyurethane Sealant,1.2,,1.4,0.22,150.0,,400.0,HB,20.0,400.0,15.0,260.0,30.0,120.0,7,0.4918562291779818
Polyvinyl Chloride (PVC),1.38,212.0,0.9,0.19,50.0,391.0,454.0,V-0,47.0,250.0,45.0,280.0,18.5,15.0,9,0.5518412271197778
Polyvinyl Fluoride (PVF),1.45,,1.4,0.16,100.0,,,V-0,25.0,150.0,20.0,380.0,18.0,20.0,6,0.5777191637179948
Polyvinyl Fluoride (PVF/Tedlar),1.45,190.0,1.4,0.16,50.0,400.0,430.0,V-0,25.0,15.0,20.0,380.0,18.0,10.0,9,0.5477644593485188
Polyvinylidene Fluoride (PVDF),1.78,172.0,1.3,0.19,125.0,440.0,460.0,V-0,44.0,22.5,25.0,440.0,14.5,7.5,9,0.5798520226432553
Porcelain Tile,2.5,1700.0,0.8,1.5,5.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0,7,0.5920771489090246
Portland Cement (Neat),1.5,,0.85,0.4,12.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,6,0.6023390784129311
Potassium,0.86,63.4,0.75,102.0,83.0,,70.0,HB,0.0,0.0,0.0,759.0,38.0,400.0,8,0.3476263386495776
Potassium (Metal),0.86,63.0,0.75,102.0,83.0,,,Non,0.0,0.0,0.0,759.0,0.0,0.0,7,0.505560275950726
Potassium Alumino Silicate (Orthoclase),2.56,1200.0,0.8,1.5,8.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Potassium Bromide,2.75,734.0,0.45,4.8,38.0,,,Non,0.0,0.0,0.0,734.0,0.0,0.0,7,0.5272274926272856
Potassium Bromide Crystal,2.75,730.0,0.44,4.8,43.0,,,Non,0.0,0.0,0.0,730.0,0.0,0.0,7,0.5269589640298457
Potassium Carbonate,2.43,891.0,0.9,0.4,28.0,,,Non,0.0,0.0,0.0,891.0,0.0,0.0,7,0.5377672400768022
Potassium Chlorate,2.32,356.0,0.81,0.38,,,,,,1000.0,0.0,400.0,0.0,,5,0.32083775449971724
Potassium Chloride,1.98,770.0,0.66,6.5,34.35,,,Non,0.0,0.0,0.0,770.0,0.0,0.0,7,0.5296442500042448
Potassium Hydride,1.43,,1.05,1.0,80.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0,6,0.5631510542731082
Potassium Iodide,3.12,681.0,0.35,2.5,42.0,,,Non,0.0,0.0,0.0,681.0,0.0,0.0,7,0.5236694887112067
Potassium Iodide Crystal,3.13,681.0,0.32,2.0,43.0,,,Non,0.0,0.0,0.0,681.0,0.0,0.0,7,0.5236694887112067
Potassium Nitrate,2.11,334.0,0.95,0.475,30.0,,,Non,0.0,500.0,0.0,400.0,0.0,0.0,7,0.43694029488757397
Potassium Perchlorate,2.52,525.0,0.85,0.35,,,,,,1000.0,0.0,600.0,0.0,,5,0.3381790155362895
Potassium Phosphide,1.62,,1.1,0.3,,,,Non,0.0,0.0,0.0,650.0,0.0,0.0,6,0.572948060308064
Praseodymium (Pure),6.77,931.0,0.19,12.0,6.7,,,Non,0.0,0.0,0.0,931.0,0.0,0.0,7,0.5404525260512013
Praseodymium Boride (PrB6),4.85,2170.0,0.55,38.0,7.5,,,Non,0.0,0.0,0.0,2170.0,0.0,0.0,7,0.6236292591082144
Praseodymium Hexaboride (PrB6),4.85,2205.0,0.58,40.0,7.0,,,Non,0.0,0.0,0.0,2205.0,0.0,0.0,7,0.6259788843358136
Praseodymium Hydride,6.45,1000.0,0.35,5.4,12.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Praseodymium Oxide (Pr2O3),6.94,2183.0,0.35,12.0,11.0,,,Non,0.0,0.0,0.0,2183.0,0.0,0.0,7,0.6245019770498941
Praseodymium Silicide,6.15,1500.0,0.32,8.0,12.0,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Propane,0.5,-188.0,2.45,0.13,-104.0,450.0,,,,0.0,,46.3,,,4,0.4331004375447374
Propane (Liquid),0.5,-188.0,2.45,0.13,,-104.0,450.0,HB,14.0,,0.0,-42.0,46.3,,7,0.3147508360416107
Propionic Acid,0.99,-21.0,2.05,0.15,54.0,465.0,,,,5.0,141.0,20.5,,,5,0.46060186119782365
Propylene,0.51,-185.0,1.55,0.14,-108.0,455.0,,,,0.0,,45.8,,,4,0.4345384665161928
Propylene Glycol,1.04,-59.0,2.5,0.2,99.0,371.0,,,,5.0,188.0,23.5,,,5,0.45422449403624626
Propylene Oxide,0.83,-112.0,2.05,0.14,-37.0,449.0,,,,0.0,,33.5,,,4,0.4365509041313802
Pultruded Profile (FRP),1.85,,1.1,0.3,12.0,,480.0,HB,22.0,400.0,20.0,350.0,30.0,100.0,7,0.5196043993108733
Pumice,0.6,,0.9,0.15,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Pyridine,0.98,-42.0,1.65,0.16,20.0,482.0,,,,10.0,,35.1,,,4,0.44697883430631197
Pyrolytic Boron Nitride,2.15,3000.0,0.8,60.0,2.0,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0,7,0.6793489430769964
Pyrolytic Boron Nitride (PBN),2.15,,0.85,65.0,1.5,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0,6,0.6650399170366477
Pyrolytic Graphite,2.2,3650.0,0.71,300.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Pyrolytic Graphite (PG),2.25,3650.0,0.71,400.0,0.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Pyromet 31,8.1,1350.0,0.46,12.5,13.8,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Pyromet 718,8.19,1260.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0,7,0.5625390031906342
Pyrrole,0.97,-23.0,1.65,0.16,39.0,550.0,,,,15.0,,34.5,,,4,0.46447193677507126
Quartz (Crystalline),2.65,1670.0,0.75,10.0,13.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0,7,0.5900631844282253
Quartz Fiber,2.2,1650.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Quartz Glass (Synthetic),2.2,1710.0,0.75,1.38,0.5,,,Non,0.0,0.0,0.0,1710.0,0.0,0.0,7,0.5927484704026245
Quartzite,2.65,1670.0,0.75,3.5,12.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0,7,0.5900631844282253
RDX (Cyclonite),1.82,204.0,1.2,0.2,,,230.0,,,1000.0,2.0,210.0,12.0,,6,0.2992919994387758
Rammed Earth,1.95,,1.0,0.8,8.5,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Rattan,0.35,,1.8,0.08,,240.0,340.0,HB,22.0,90.0,20.0,270.0,17.5,150.0,8,0.5170326480596896
Red Brass (85%),8.75,1020.0,0.38,159.0,18.7,,,Non,0.0,0.0,0.0,1020.0,0.0,0.0,7,0.5464272873442394
Rene 41 (Sheet),8.25,1330.0,0.45,10.8,13.2,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Rene 77,8.25,1300.0,0.45,10.0,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Rene 80,8.16,1300.0,0.45,10.2,13.1,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Rene 95,8.25,1330.0,0.45,10.5,13.5,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
René 41,8.25,1330.0,0.45,10.8,13.2,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Rhenium Metal,21.0,3180.0,0.14,48.0,6.2,,,Non,0.0,0.0,0.0,3180.0,0.0,0.0,7,0.6914327299617925
Rhenium Silicide,11.5,1900.0,0.22,25.0,6.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0,7,0.6055035787810203
Rhenium Trioxide,7.07,400.0,0.25,15.0,10.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0,7,0.5048053547410528
Rhenium-Molybdenum (50/50),13.7,2550.0,0.2,85.0,5.8,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0,7,0.6491394758650062
Rhenium-Tungsten Alloy,19.7,3410.0,0.13,110.0,4.7,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0,7,0.7068731243145876
Rhodium,12.4,1964.0,0.24,150.0,8.2,,,Non,0.0,0.0,0.0,1964.0,0.0,0.0,7,0.609800036340059
Rhodium (Pure),12.4,1964.0,0.24,150.0,8.2,,,Non,0.0,0.0,0.0,1964.0,0.0,0.0,7,0.609800036340059
Rhodium Silicide,8.25,1500.0,0.32,20.0,8.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Rigid Polyurethane Foam,0.05,,1.45,0.02,65.0,,480.0,V-1,22.0,300.0,15.0,260.0,30.0,75.0,7,0.5357383609780701
Rockwool Board,0.15,1150.0,0.85,0.04,0.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0,7,0.5551544667610365
Rosin,1.08,100.0,1.4,0.12,,180.0,,HB,18.0,400.0,5.0,300.0,35.0,300.0,8,0.3856561245735859
Rubidium (Metal),1.53,39.0,0.36,58.0,90.0,,,Non,0.0,0.0,0.0,688.0,0.0,0.0,7,0.5023703868221678
Rubidium Bromide,3.35,693.0,0.3,1.2,35.0,,,Non,0.0,0.0,0.0,693.0,0.0,0.0,7,0.5244750745035265
Rubidium Chloride,2.8,718.0,0.45,1.5,38.0,,,Non,0.0,0.0,0.0,718.0,0.0,0.0,7,0.526153378237526
Rubidium Iodide,3.55,647.0,0.3,1.0,42.0,,,Non,0.0,0.0,0.0,647.0,0.0,0.0,7,0.5213869956329674
Rubidium Iodide Crystal,3.55,647.0,0.25,1.5,40.0,,,Non,0.0,0.0,0.0,647.0,0.0,0.0,7,0.5213869956329674
Ruby (Synthetic),4.0,2040.0,0.76,35.0,8.4,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0,7,0.6149020796914172
Ruthenium (Pure),12.4,2334.0,0.24,117.0,6.4,,,Non,0.0,0.0,0.0,2334.0,0.0,0.0,7,0.6346389316032509
Ruthenium Metal,12.4,2334.0,0.24,117.0,6.4,,,Non,0.0,0.0,0.0,2334.0,0.0,0.0,7,0.6346389316032509
Ruthenium Silicide,7.85,1600.0,0.35,22.0,7.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
S-816 Cobalt Alloy,8.6,1315.0,0.42,12.5,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
SAN (30% Glass Fiber),1.3,115.0,1.1,0.18,30.0,355.0,435.0,HB,19.5,80.0,15.0,350.0,34.0,130.0,9,0.4991926593357726
SBR Rubber,0.95,,1.9,0.16,210.0,300.0,360.0,HB,17.5,220.0,8.0,300.0,43.0,210.0,8,0.48905144453813426
SBR Rubber (Reinforced),1.15,,1.8,0.25,180.0,310.0,370.0,HB,18.2,230.0,12.0,310.0,41.5,190.0,8,0.49790617445583796
SMC (Polyester Sheet),1.9,,1.0,0.55,18.0,350.0,400.0,V-0,25.0,160.0,30.0,350.0,28.0,30.0,8,0.5702958881282251
Samaria (Sm2O3),8.35,2335.0,0.2,10.0,10.0,,,Non,0.0,0.0,0.0,2335.0,0.0,0.0,7,0.6347060637526108
Samarium (Pure),7.52,1072.0,0.2,13.0,12.7,,,Non,0.0,0.0,0.0,1072.0,0.0,0.0,7,0.5499181591109582
Samarium Boride (SmB6),5.05,2130.0,0.5,32.0,8.1,,,Non,0.0,0.0,0.0,2130.0,0.0,0.0,7,0.6209439731338152
Samarium Cobalt (Magnet),8.4,1200.0,0.35,12.0,9.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Samarium Hexaboride (SmB6),5.05,2230.0,0.52,35.0,7.5,,,Non,0.0,0.0,0.0,2230.0,0.0,0.0,7,0.6276571880698132
Samarium Hydride,7.7,1000.0,0.3,4.8,11.2,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Samarium Iron Garnet (SmIG),6.2,1520.0,0.4,5.2,10.0,,,Non,0.0,0.0,0.0,1520.0,0.0,0.0,7,0.5799933620242285
Samarium Oxide (Sm2O3),8.35,2335.0,0.32,10.0,10.8,,,Non,0.0,0.0,0.0,2335.0,0.0,0.0,7,0.6347060637526108
Samarium Silicide,6.75,1400.0,0.28,12.0,11.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Samarium Zirconate (Sm2Zr2O7),6.85,2450.0,0.35,1.7,10.5,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0,7,0.6424262609290085
Sandstone (Quartz),2.35,,0.92,1.7,11.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,6,0.6062578808269133
Sapphire,3.98,2040.0,0.75,35.0,8.0,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0,7,0.6149020796914172
Sapphire (Synthetic),3.98,2040.0,0.76,35.0,8.4,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0,7,0.6149020796914172
Scandia (Sc2O3),3.86,2485.0,0.5,16.0,7.5,,,Non,0.0,0.0,0.0,2485.0,0.0,0.0,7,0.6447758861566076
Scandium (Pure),2.99,1541.0,0.57,15.0,10.2,,,Non,0.0,0.0,0.0,1541.0,0.0,0.0,7,0.5814031371607882
Scandium Boride (ScB2),2.85,2250.0,0.85,30.0,7.5,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0,7,0.6289998310570127
Scandium Hexaboride (ScB6),2.85,2250.0,0.95,35.0,5.5,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0,7,0.6289998310570127
Scandium Oxide (Sc2O3),3.86,2485.0,0.65,18.0,6.5,,,Non,0.0,0.0,0.0,2485.0,0.0,0.0,7,0.6447758861566076
Scandium Silicide,3.55,1700.0,0.65,20.0,8.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0,7,0.5920771489090246
Selenium (Grey),4.81,221.0,0.32,0.5,37.0,,,Non,0.0,0.0,0.0,685.0,0.0,0.0,7,0.5083743370349405
Selenium Hydride,0.004,-65.0,0.45,,,,,,0.0,-41.0,18.5,,,,4,0.334377079830083
Selenium Silicide,4.25,,0.35,5.0,18.5,,,Non,0.0,0.0,0.0,650.0,0.0,0.0,6,0.572948060308064
Serpentine,2.6,,0.95,2.0,9.5,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Shale Oil,0.9,,1.95,0.14,,30.0,450.0,HB,16.0,700.0,5.0,300.0,42.0,400.0,8,0.3639586490737626
Shellac,1.15,75.0,1.3,0.15,,,,HB,20.0,250.0,15.0,280.0,25.0,200.0,7,0.4295881213444092
Shotcrete,2.3,,0.9,1.3,11.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Sialon (Ceramic),3.25,,0.72,25.0,3.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,6,0.6180142880688603
Silica Aerogel,0.1,1200.0,0.8,0.015,3.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Silica Brick,2.25,1650.0,1.1,1.5,4.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Silica Fiber (99.9%),2.2,1650.0,0.75,0.04,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Silica Fume,2.2,1650.0,0.75,0.5,,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Silicon (Polycryst),2.33,1414.0,0.71,148.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0,7,0.5728773541920708
Silicon (Pure),2.33,1414.0,0.71,149.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0,7,0.5728773541920708
Silicon (Pure/Wafer),2.33,1414.0,0.71,149.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0,7,0.5728773541920708
Silicon (Single Crystal),2.33,1414.0,0.71,148.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0,7,0.5728773541920708
Silicon Bronze,8.53,955.0,0.38,36.0,18.0,,,Non,0.0,0.0,0.0,955.0,0.0,0.0,7,0.5420636976358407
Silicon Bronze (C87500),8.28,915.0,0.38,28.0,19.6,,,Non,0.0,0.0,0.0,915.0,0.0,0.0,7,0.5393784116614416
Silicon Carbide,3.1,2730.0,0.7,120.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0,7,0.6612232627498023
Silicon Carbide (4H),3.21,2730.0,0.7,370.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0,7,0.6612232627498023
Silicon Carbide (6H),3.21,2730.0,0.7,490.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0,7,0.6612232627498023
Silicon Carbide (Beta),3.21,2730.0,0.7,120.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0,7,0.6612232627498023
Silicon Carbide (CVD),3.21,2730.0,0.71,150.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0,7,0.6612232627498023
Silicon Carbide (Reaction Bonded),3.05,2730.0,0.725,115.0,4.2,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.6148694284815547
